loss,PSNR,SSIM,val_loss,val_PSNR,val_SSIM
0.061330556869506836,24.16188621520996,0.8155221939086914,0.19905343651771545,13.843149185180664,0.040969960391521454
0.0275407861918211,31.66200065612793,0.9735527634620667,0.18200881779193878,14.252084732055664,0.5811773538589478
0.026448538526892662,33.264835357666016,0.9796709418296814,0.0678524300456047,18.053752899169922,0.8101410865783691
0.025961589068174362,34.066017150878906,0.9818324446678162,0.027819175273180008,32.504756927490234,0.9708641767501831
0.025586897507309914,34.912837982177734,0.9833715558052063,0.02650565654039383,33.644683837890625,0.9799873232841492
0.025385282933712006,35.325923919677734,0.9840766191482544,0.025735929608345032,36.2208137512207,0.9832133054733276
0.025175875052809715,35.9876823425293,0.9847426414489746,0.025711197406053543,36.146148681640625,0.985634446144104
0.02488260343670845,37.09122848510742,0.9857401251792908,0.025405265390872955,37.566612243652344,0.9837858080863953
0.024746879935264587,37.558937072753906,0.9861178994178772,0.025310201570391655,36.27164077758789,0.9853455424308777
0.02456866391003132,38.39298629760742,0.9866702556610107,0.025092020630836487,38.546974182128906,0.9865848422050476
0.024467067793011665,39.00224685668945,0.9869357347488403,0.025012779980897903,38.94731903076172,0.987043559551239
0.024351077154278755,39.56098175048828,0.9873546957969666,0.02490963786840439,39.70621871948242,0.9879735112190247
0.024302411824464798,39.70719909667969,0.9874648451805115,0.024838678538799286,39.52775955200195,0.9874933362007141
0.02420509047806263,40.535213470458984,0.9877718687057495,0.024775752797722816,40.13032150268555,0.9870516061782837
0.024160275235772133,40.615421295166016,0.987913966178894,0.024913018569350243,38.23529815673828,0.9875056147575378
0.024113589897751808,40.71154022216797,0.9880722761154175,0.024695761501789093,40.938636779785156,0.9877265691757202
0.02406054362654686,40.98087692260742,0.9882614016532898,0.02483983524143696,37.95703887939453,0.9881871938705444
0.024004217237234116,41.700477600097656,0.9884843826293945,0.02476251870393753,41.01704025268555,0.9885546565055847
0.023999609053134918,41.06338119506836,0.9884812235832214,0.024503732100129128,42.71382522583008,0.988004207611084
0.023951679468154907,41.52116012573242,0.9886701107025146,0.024549288675189018,41.497371673583984,0.9889987707138062
