loss,PSNR,SSIM,val_loss,val_PSNR,val_SSIM,lr
0.06386199593544006,23.561458587646484,0.7926186323165894,0.2170201539993286,13.59277057647705,0.02076682634651661,0.001
0.02838856168091297,30.445499420166016,0.9692422747612,0.1517830491065979,14.575408935546875,0.38438481092453003,0.001
0.0271772388368845,32.02064514160156,0.9760341048240662,0.07186316698789597,18.51344871520996,0.5828002691268921,0.001
0.026415668427944183,33.20684814453125,0.9796169996261597,0.030961276963353157,27.869760513305664,0.9509612917900085,0.001
0.025913849472999573,34.21468734741211,0.9818073511123657,0.025498025119304657,35.687294006347656,0.985028862953186,0.001
0.025500593706965446,35.182212829589844,0.9835742712020874,0.025854850187897682,34.39461898803711,0.9836492538452148,0.001
0.025283249095082283,35.804588317871094,0.9842913150787354,0.02497812919318676,36.907081604003906,0.9863178133964539,0.001
0.025015657767653465,36.75709533691406,0.9852501153945923,0.024798868224024773,37.830604553222656,0.9864498376846313,0.001
0.024834753945469856,37.443931579589844,0.9858251810073853,0.024829134345054626,36.69080352783203,0.9847294092178345,0.001
0.024725135415792465,37.842586517333984,0.9860950708389282,0.024679459631443024,39.23883819580078,0.9868077039718628,0.001
0.024572480469942093,38.64008331298828,0.9866365790367126,0.024378718808293343,40.63703536987305,0.9876629114151001,0.001
0.024448685348033905,39.48594665527344,0.9869349002838135,0.024501364678144455,40.03241729736328,0.9875954389572144,0.001
0.02436307817697525,39.82742691040039,0.987266480922699,0.024255359545350075,40.786170959472656,0.9879339337348938,0.001
0.024299096316099167,40.34120178222656,0.9874475002288818,0.024336518719792366,41.60533905029297,0.9878935813903809,0.001
0.024233270436525345,40.74236297607422,0.9876941442489624,0.02425372414290905,40.87090301513672,0.9883202314376831,0.001
0.024166472256183624,41.237586975097656,0.9878750443458557,0.02408871240913868,43.13002014160156,0.9888205528259277,0.001
0.02412053570151329,41.57094192504883,0.988075315952301,0.024130070582032204,42.299102783203125,0.9886244535446167,0.001
0.024088507518172264,41.74455261230469,0.9881808757781982,0.02409757673740387,42.774559020996094,0.9883414506912231,0.001
0.02401704527437687,42.324947357177734,0.9884127974510193,0.024036817252635956,43.76050567626953,0.9884179830551147,0.001
0.023991050198674202,42.35515213012695,0.988560140132904,0.024158157408237457,43.13021469116211,0.9889004826545715,0.001
