loss,PSNR,SSIM,val_loss,val_PSNR,val_SSIM,lr
0.621455729007721,20.174549102783203,0.6010422110557556,0.40127432346343994,11.299379348754883,0.005245632492005825,0.001
0.0651121586561203,27.909622192382812,0.9314424991607666,0.22464483976364136,13.957975387573242,0.1571870893239975,0.001
0.040759339928627014,29.455753326416016,0.9420300722122192,0.25858113169670105,14.092241287231445,0.5806193351745605,0.001
0.036230187863111496,29.55162811279297,0.9538771510124207,0.22495302557945251,14.181108474731445,0.6417602896690369,0.001
0.033627089112997055,29.98448944091797,0.9633790850639343,0.157151997089386,14.681562423706055,0.7026523351669312,0.001
0.03199724107980728,30.650157928466797,0.9692021608352661,0.07982228696346283,17.89168930053711,0.7944642901420593,0.001
0.03117963671684265,31.054622650146484,0.9716092348098755,0.05468681454658508,20.819238662719727,0.8705360293388367,0.001
0.030821118503808975,31.098377227783203,0.9719902873039246,0.030318109318614006,32.05023193359375,0.9661938548088074,0.001
0.030605746433138847,31.221237182617188,0.9724392294883728,0.040242042392492294,25.632116317749023,0.9382680654525757,0.001
0.030338086187839508,31.484241485595703,0.9741249084472656,0.035493429750204086,26.044225692749023,0.9366423487663269,0.001
